               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.014034,           0.0076022,                   0,             0.99916,                   1,               0.995,             0.92274,           0.0053206,           0.0018432,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.013012,           0.0071847,                   0,             0.99734,                   1,               0.995,             0.93933,            0.004957,           0.0018813,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.014805,           0.0076654,                   0,             0.99735,                   1,               0.995,             0.92806,           0.0051327,           0.0018002,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.014964,           0.0071329,                   0,             0.99768,                   1,               0.995,             0.93006,           0.0048869,           0.0017774,                   0,            0.002674,            0.002674,            0.002674
                  76,             0.01474,           0.0074305,                   0,             0.99765,                   1,               0.995,             0.95525,           0.0045989,           0.0018286,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.014178,           0.0072385,                   0,             0.99722,                   1,               0.995,             0.95091,            0.004378,           0.0017753,                   0,            0.002476,            0.002476,            0.002476
                  78,             0.01345,           0.0066439,                   0,             0.99809,                   1,               0.995,             0.94048,           0.0046009,           0.0017519,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.013658,           0.0072948,                   0,              0.9979,                   1,               0.995,              0.9394,           0.0043975,           0.0018258,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.015297,           0.0069199,                   0,             0.99869,                   1,               0.995,             0.93748,           0.0047195,           0.0019663,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.012996,           0.0066921,                   0,             0.99788,                   1,               0.995,             0.94778,           0.0039895,           0.0018976,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.012338,           0.0071038,                   0,             0.99748,                   1,               0.995,              0.9517,           0.0043621,           0.0018586,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.011964,           0.0073285,                   0,             0.99861,                   1,               0.995,             0.93288,           0.0045533,           0.0019671,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.014029,           0.0068571,                   0,             0.99821,                   1,               0.995,             0.95056,           0.0043095,           0.0019201,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.012585,           0.0070208,                   0,             0.99843,                   1,               0.995,              0.9613,           0.0036339,           0.0018214,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.013619,           0.0071008,                   0,             0.99827,                   1,               0.995,             0.95232,           0.0041963,             0.00181,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.012311,           0.0071892,                   0,              0.9969,                   1,               0.995,             0.95862,           0.0042031,           0.0017482,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.011911,           0.0071953,                   0,              0.9971,                   1,               0.995,             0.95812,           0.0041053,           0.0017038,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.011995,           0.0068508,                   0,             0.99753,                   1,               0.995,             0.95448,           0.0041257,           0.0017299,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.012169,           0.0067475,                   0,             0.99664,                   1,               0.995,             0.94227,           0.0047319,           0.0017896,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.012028,           0.0070117,                   0,             0.99805,                   1,               0.995,             0.94901,           0.0048808,           0.0017161,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.010932,           0.0066364,                   0,             0.99882,                   1,               0.995,             0.94635,           0.0045928,           0.0016361,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.011539,           0.0069225,                   0,             0.99796,                   1,               0.995,             0.95249,           0.0043537,           0.0016382,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.012246,            0.006773,                   0,             0.99885,                   1,               0.995,             0.96107,           0.0043899,           0.0016204,                   0,            0.000793,            0.000793,            0.000793
                  95,             0.01212,           0.0066695,                   0,             0.99873,                   1,               0.995,             0.95917,           0.0040024,           0.0016503,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.012349,           0.0063174,                   0,             0.99775,                   1,               0.995,             0.95998,           0.0040883,           0.0016879,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.011634,           0.0069837,                   0,             0.99822,                   1,               0.995,             0.95827,           0.0042386,           0.0016417,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.011115,           0.0065704,                   0,             0.99817,                   1,               0.995,             0.96077,            0.004123,           0.0016384,                   0,            0.000397,            0.000397,            0.000397
                  99,             0.01286,           0.0069443,                   0,             0.99813,                   1,               0.995,             0.95489,           0.0040249,           0.0016175,                   0,            0.000298,            0.000298,            0.000298
