               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.017959,           0.0070911,                   0,             0.99471,                   1,               0.995,             0.90557,           0.0087406,           0.0021732,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.017323,           0.0067072,                   0,             0.99438,                   1,               0.995,             0.92427,           0.0088719,           0.0022104,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.020906,           0.0064381,                   0,             0.99416,                   1,               0.995,             0.87407,           0.0088635,           0.0021591,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.019579,           0.0075482,                   0,             0.99422,                   1,               0.995,             0.89254,           0.0077876,           0.0022457,                   0,            0.003763,            0.003763,            0.003763
                  65,             0.02006,           0.0077134,                   0,             0.99412,                   1,               0.995,              0.9099,           0.0070452,           0.0020876,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.018753,           0.0071368,                   0,             0.99426,                   1,               0.995,             0.88597,             0.00974,           0.0021319,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.016901,           0.0065925,                   0,             0.99402,                   1,               0.995,             0.81089,            0.011217,           0.0021374,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.015329,           0.0069226,                   0,             0.99439,                   1,               0.995,             0.93509,           0.0082027,           0.0021243,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.018062,           0.0061117,                   0,              0.9946,                   1,               0.995,             0.87925,           0.0085753,           0.0020871,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.016991,            0.006819,                   0,              0.9945,                   1,               0.995,             0.87181,           0.0076582,           0.0021088,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.018651,           0.0062558,                   0,             0.99459,                   1,               0.995,             0.87156,           0.0076784,           0.0021381,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.016651,           0.0066376,                   0,              0.9947,                   1,               0.995,             0.91214,           0.0063443,           0.0020423,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.017813,           0.0067082,                   0,             0.99457,                   1,               0.995,              0.9434,           0.0059696,           0.0019376,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.013937,           0.0059563,                   0,             0.99446,                   1,               0.995,              0.8877,            0.006969,           0.0020144,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.015403,            0.006351,                   0,             0.99458,                   1,               0.995,             0.87529,           0.0078166,           0.0022299,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015959,           0.0063225,                   0,             0.99447,                   1,               0.995,             0.89346,           0.0063344,           0.0020919,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.016938,           0.0057407,                   0,             0.99421,                   1,               0.995,             0.89461,           0.0063447,           0.0020499,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.015422,           0.0070553,                   0,             0.99441,                   1,               0.995,             0.91192,           0.0050677,           0.0019555,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015562,           0.0066727,                   0,             0.99437,                   1,               0.995,             0.91569,           0.0050605,           0.0019567,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.014974,           0.0065242,                   0,              0.9944,                   1,               0.995,              0.8559,           0.0064135,           0.0019953,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.015653,           0.0062919,                   0,             0.99442,                   1,               0.995,             0.89945,           0.0061029,           0.0020127,                   0,             0.00208,             0.00208,             0.00208
                  82,              0.0158,           0.0058033,                   0,             0.99437,                   1,               0.995,             0.93753,           0.0049529,           0.0020003,                   0,            0.001981,            0.001981,            0.001981
